"STATION","NAME","DATE","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HTDD","PRCP","TAVG","TMAX","TMIN"
"FRM00007240","VAL DE LOIRE, FR","2023-02",,"4","0",,,,,,,"0.09",,,"0.22",,,
"FRM00007481","SAINT EXUPERY, FR","2023-01",,"15","5",,,,,,,"0.56",,,"1.76",,,
"FRM00007481","SAINT EXUPERY, FR","2023-02",,"4","0",,,,,,,"0.08",,,"0.17",,,
"FR000007190","STRASBOURG ENTZHEIM, FR","2023-01",,"12","6",,,,,,,"0.36",,,"1.38",,,
"FR000007190","STRASBOURG ENTZHEIM, FR","2023-02",,"7","1",,,,,,,"0.13",,,"0.29",,,
"FRM00007280","LONGVIC, FR","2023-01",,"17","4",,,,,,,"0.37",,,"1.59",,,
"FRM00007280","LONGVIC, FR","2023-02",,"5","2",,,,,,,"0.22",,,"0.37",,,
"FRE00104937","PTE DE LA HAGUE, FR","2023-01",,"19","8",,,"0","0","0",,"0.56","57",,"2.87",,"50.5",
"FRE00104937","PTE DE LA HAGUE, FR","2023-02",,"7","1",,,"0","0","0",,"0.20","58",,"0.33",,"50.7",
"FRE00106190","TOURS, FR","2023-01",,"15","9",,,,,,,"0.66",,,"2.85",,,
"FRE00106190","TOURS, FR","2023-02",,"4","0",,,,,,,"0.09",,,"0.22",,,
"FR000007747","PERPIGNAN, FR","2023-01",,"4","1",,,"0","0","0",,"0.67","65",,"0.76",,"53.9",
"FR000007747","PERPIGNAN, FR","2023-02",,"3","1",,,,,,,"0.71",,,"0.74",,,
"FRE00106195","LIMOGES BELLEGARDE, FR","2023-01",,"18","9",,,,,,,"0.57",,,"3.23",,,
"FRE00106195","LIMOGES BELLEGARDE, FR","2023-02",,"6","3",,,,,,,"0.38",,,"0.81",,,
"FP000091948","MANGAREVA, FP","2023-01",,"22","11",,,,,,,"1.77",,,"5.86",,,
"FP000091948","MANGAREVA, FP","2023-02",,"14","6",,,,,,,"0.79",,,"1.92",,,
"FRE00106196","LE PUY LOUDES, FR","2023-01",,"10","3",,,,,,,"0.33",,,"0.81",,,
"FRE00106196","LE PUY LOUDES, FR","2023-02",,"8","0",,,,,,,"0.08",,,"0.18",,,
"FRM00007558","MILLAU, FR","2023-01",,"11","5",,,"6","0","0",,"0.38","54",,"1.03",,"41.1",
"FRM00007558","MILLAU, FR","2023-02","0","4","1","0","12","0","0","0","23","0.41","65","560","0.56","41.4","50.3","32.6"
"FRM00007139","ALENCON VALFRAMBERT, FR","2023-01",,"18","8",,,"0","0","0",,"0.44","58",,"2.67",,"47.2",
"FRM00007139","ALENCON VALFRAMBERT, FR","2023-02",,"3","0",,,"0","0","0",,"0.01","60",,"0.04",,"50.4",
"FRM00007535","GOURDON, FR","2023-01",,"12","5",,,"0","0","0",,"0.37","63",,"1.70",,"46.8",
"FRM00007535","GOURDON, FR","2023-02","0","5","2","0","15","0","0","0","20","0.41","67","532","0.73","43.4","55.1","31.7"
"FRE00104040","LILLE LESQUIN, FR","2023-01",,"22","9",,,,,,,"0.43",,,"2.13",,,
"FRE00104040","LILLE LESQUIN, FR","2023-02",,"13","1",,,,,,,"0.17",,,"0.38",,,
"FRM00007335","BIARD, FR","2023-01",,"18","10",,,,,,,"0.67",,,"3.72",,,
"FRM00007335","BIARD, FR","2023-02",,"5","3",,,,,,,"0.83",,,"1.24",,,
"FRM00007015","LESQUIN, FR","2023-01",,"22","9",,,,,,,"0.43",,,"2.13",,,
"FRM00007015","LESQUIN, FR","2023-02",,"13","1",,,,,,,"0.17",,,"0.38",,,
"FR000007560","MONT AIGOUAL, FR","2023-01",,"22","8",,,"14","0","0",,"1.28","47",,"3.17",,"32.2",
"FR000007560","MONT AIGOUAL, FR","2023-02",,"7","3",,,"6","0","0",,"2.87","56",,"3.82",,"39.3",
"FRM00007299","BALE MULHOUSE, FR","2023-01",,"15","6",,,,,,,"0.66",,,"1.81",,,
"FRM00007299","BALE MULHOUSE, FR","2023-02",,"8","1",,,,,,,"0.24",,,"0.41",,,
"FRM00007690","COTE D AZUR, FR","2023-01",,"3","1",,,,,,,"1.09",,,"1.22",,,
"FRM00007690","COTE D AZUR, FR","2023-02",,"2","1",,,,,,,"0.41",,,"0.43",,,
"FP000091954","TUBUAI, FP","2023-01",,"21","13","0","0",,,,"71","2.32",,,"9.52",,,"75.1"
"FP000091954","TUBUAI, FP","2023-02",,"21","11","0","0",,,,"72","0.72",,,"4.31",,,"75.7"
"MFM00067005","DZAOUDZI PAMANDZI, MF","2023-01",,"17","12",,,,,,,"2.44",,,"7.93",,,
"MFM00067005","DZAOUDZI PAMANDZI, MF","2023-02",,"16","9",,,,,,,"1.81",,,"4.92",,,
"FRE00104048","REIMS PRUNAY, FR","2023-01",,"16","5",,,,,,,"0.35",,,"1.56",,,
"FRE00104048","REIMS PRUNAY, FR","2023-02",,"4","1",,,,,,,"0.24",,,"0.28",,,
"FRE00171619","TROYES BARBEREY, FR","2023-01",,"17","8",,,,,,,"0.48",,,"2.31",,,
"FRE00171619","TROYES BARBEREY, FR","2023-02",,"2","1",,,,,,,"0.19",,,"0.20",,,
"FRM00007607","MONT DE MARSAN, FR","2023-01",,"13","8",,,,,,,"1.53",,,"4.78",,,
"FRM00007607","MONT DE MARSAN, FR","2023-02",,"4","2",,,,,,,"0.67",,,"1.04",,,
"FRE00104044","CAEN CARPIQUET, FR","2023-01",,"24","13",,,,,,,"0.87",,,"3.72",,,
"FRE00104044","CAEN CARPIQUET, FR","2023-02",,"7","0",,,,,,,"0.05",,,"0.15",,,
"FRE00104088","POITIERS BIARD, FR","2023-01",,"18","10",,,,,,,"0.67",,,"3.72",,,
"FRE00104088","POITIERS BIARD, FR","2023-02",,"5","3",,,,,,,"0.83",,,"1.24",,,
"FRE00104484","BREST GUIPAVAS, FR","2023-01",,"23","17",,,,,,,"0.75",,,"6.01",,,
"FRE00104484","BREST GUIPAVAS, FR","2023-02",,"10","3",,,,,,,"0.12",,,"0.60",,,
"FRE00106184","ROUEN BOOS, FR","2023-01",,"21","10",,,,,,,"0.40",,,"2.75",,,
"FRE00106184","ROUEN BOOS, FR","2023-02",,"16","0",,,,,,,"0.08",,,"0.33",,,
"FRE00104120","NICE, FR","2023-01",,"3","1",,,,,,,"1.09",,,"1.22",,,
"FRE00104120","NICE, FR","2023-02",,"2","1",,,,,,,"0.41",,,"0.43",,,
"FRM00007207","BELLE ILE LE TALUT, FR","2023-01",,"22","8",,,"0","0","0",,"0.60","59",,"2.80",,"51.4",
"FRM00007207","BELLE ILE LE TALUT, FR","2023-02","0","8","0","0","0","0","0","0","35","0.04","56","420","0.16","46.9","51.0","42.8"
"FRM00007149","ORLY, FR","2023-01",,"17","8",,,,,,,"0.35",,,"1.78",,,
"FRM00007149","ORLY, FR","2023-02",,"3","0",,,,,,,"0.04",,,"0.07",,,
"FR000007650","MARSEILLES MARIGNANE, FR","2023-01",,"4","0",,,,,,,"0.03",,,"0.07",,,
"FR000007650","MARSEILLES MARIGNANE, FR","2023-02",,"5","2",,,,,,,"0.25",,,"0.47",,,
"FRE00104072","DIJON LONGVIC, FR","2023-01",,"17","4",,,,,,,"0.37",,,"1.59",,,
"FRE00104072","DIJON LONGVIC, FR","2023-02",,"5","2",,,,,,,"0.22",,,"0.37",,,
"FRM00007027","CARPIQUET, FR","2023-01",,"24","13",,,,,,,"0.87",,,"3.72",,,
"FRM00007027","CARPIQUET, FR","2023-02",,"7","0",,,,,,,"0.05",,,"0.15",,,
"FRM00007621","LOURDES, FR","2023-01",,"14","9",,,,,,,"2.07",,,"6.55",,,
"FRM00007621","LOURDES, FR","2023-02",,"5","2",,,,,,,"1.01",,,"1.19",,,
"FR000007255","BOURGES, FR","2023-01",,"19","9",,,"0","0","0",,"0.67","63",,"2.46",,"46.4",
"FR000007255","BOURGES, FR","2023-02",,"7","2",,,"0","0","0",,"0.32","64",,"0.54",,"51.3",
"FRM00007222","NANTES BOUGUENAIS, FR","2023-01",,"24","13",,,,,,,"0.59",,,"3.64",,,
"FRM00007222","NANTES BOUGUENAIS, FR","2023-02",,"12","1",,,,,,,"0.51",,,"0.80",,,
"FR000007130","RENNES ST JACQUES, FR","2023-01",,"21","10",,,"0","0","0",,"0.44","63",,"2.60",,"49.1",
"FR000007130","RENNES ST JACQUES, FR","2023-02",,"4","1",,,"0","0","0",,"0.30","62",,"0.38",,"52.1",
"FRM00007460","AUVERGNE, FR","2023-01",,"13","0",,,,,,,"0.08",,,"0.49",,,
"FRM00007460","AUVERGNE, FR","2023-02",,"5","0",,,,,,,"0.05",,,"0.15",,,
"SBM00071805","ST PIERRE, SB","2023-01",,"21","8",,,,,,,"1.22",,,"4.70",,,
"SBM00071805","ST PIERRE, SB","2023-02",,"15","8",,,,,,,"0.56",,,"2.72",,,
"FRE00104907","MONTELIMAR, FR","2023-01",,"8","1",,,"0","0","0",,"0.16","62",,"0.33",,"49.4",
"FRE00104907","MONTELIMAR, FR","2023-02",,"4","2",,,"0","0","0",,"0.59","65",,"0.75",,"54.1",
"FRM00007181","OCHEY, FR","2023-01",,"18","11",,,,,,,"0.48",,,"3.00",,,
"FRM00007181","OCHEY, FR","2023-02",,"10","1",,,,,,,"0.12",,,"0.33",,,
"FRM00007180","ESSEY, FR","2023-01",,"19","11",,,,,,,"0.48",,,"2.58",,,
"FRM00007180","ESSEY, FR","2023-02",,"9","1",,,,,,,"0.11",,,"0.35",,,
"FRE00171623","PTE DE CHASSIRON, FR","2023-01",,"17","10",,,"0","0","0",,"0.65","60",,"4.00",,"50.8",
"FRE00171623","PTE DE CHASSIRON, FR","2023-02",,"8","2","0","0","0","0","0","34","0.57","57",,"0.91","45.7","50.3","41.1"
"FRE00104116","TARBES OSSUN, FR","2023-01",,"14","9",,,,,,,"2.07",,,"6.55",,,
"FRE00104116","TARBES OSSUN, FR","2023-02",,"5","2",,,,,,,"1.01",,,"1.19",,,
"FRE00171627","PLOUMANAC H, FR","2023-01",,"24","11",,,"0","0","0",,"0.43","58",,"2.82",,"51.0",
"FRE00171627","PLOUMANAC H, FR","2023-02",,"16","0",,,"0","0","0",,"0.09","65",,"0.48",,"51.7",
"FG000081405","ROCHAMBEAU, FG","2023-01",,"27","22",,,,,,,"2.80",,,"21.17",,,
"FG000081405","ROCHAMBEAU, FG","2023-02",,"25","22",,,,,,,"5.16",,,"30.27",,,
"FRE00104036","ABBEVILLE, FR","2023-01",,"22","10",,,"0","0","0",,"0.47","61",,"2.84",,"47.8",
"FRE00104036","ABBEVILLE, FR","2023-02",,"12","0",,,"0","0","0",,"0.04","56",,"0.24",,"48.4",
"FP000091925","HIVA OA, FP","2023-01",,"18","6",,,,,,,"0.75",,,"2.01",,,
"FP000091925","HIVA OA, FP","2023-02",,"13","7",,,,,,,"0.47",,,"1.81",,,
"FRE00106200","MILLAU, FR","2023-01",,"11","5",,,"6","0","0",,"0.38","54",,"1.03",,"41.1",
"FRE00106200","MILLAU, FR","2023-02","0","4","1","0","12","0","0","0","23","0.41","65","560","0.56","41.4","50.3","32.6"
"FRM00007434","BELLEGARDE, FR","2023-01",,"18","9",,,,,,,"0.57",,,"3.23",,,
"FRM00007434","BELLEGARDE, FR","2023-02",,"6","3",,,,,,,"0.38",,,"0.81",,,
"FRM00007037","VALLEE DE SEINE, FR","2023-01",,"21","10",,,,,,,"0.40",,,"2.75",,,
"FRM00007037","VALLEE DE SEINE, FR","2023-02",,"16","0",,,,,,,"0.08",,,"0.33",,,
"FR069029001","LYON ST EXUPERY, FR","2023-01",,"17","3",,,,,,,"0.50",,,"1.45",,,
"FR069029001","LYON ST EXUPERY, FR","2023-02",,"3","0",,,,,,,"0.06",,,"0.11",,,
"FRE00106203","MONT DE MARSAN, FR","2023-01",,"13","8",,,,,,,"1.53",,,"4.78",,,
"FRE00106203","MONT DE MARSAN, FR","2023-02",,"4","2",,,,,,,"0.67",,,"1.04",,,
"FRM00007156","PARIS MONTSOURIS, FR","2023-01",,"20","7",,,"0","0","0",,"0.52","59",,"2.11",,"47.1",
"FRM00007156","PARIS MONTSOURIS, FR","2023-02",,"3","0",,,"0","0","0",,"0.05","62",,"0.07",,"51.5",
"FRE00106205","ST GIRONS, FR","2023-01",,"13","6",,,"0","0","0",,"1.11","67",,"3.02",,"47.9",
"FRE00106205","ST GIRONS, FR","2023-02","0","6","3","0","19","0","1","0","21","0.31","72","541","0.57","41.9","55.4","28.5"
"FRM00007110","GUIPAVAS, FR","2023-01",,"23","17",,,,,,,"0.75",,,"6.01",,,
"FRM00007110","GUIPAVAS, FR","2023-02",,"10","3",,,,,,,"0.12",,,"0.60",,,
"FRE00106207","MONTPELLIER AEROPORT, FR","2023-01",,"6","1",,,,,,,"0.44",,,"0.59",,,
"FRE00106207","MONTPELLIER AEROPORT, FR","2023-02",,"10","3",,,,,,,"0.26",,,"0.93",,,
"FRM00007471","LOUDES, FR","2023-01",,"10","3",,,,,,,"0.33",,,"0.81",,,
"FRM00007471","LOUDES, FR","2023-02",,"8","0",,,,,,,"0.08",,,"0.18",,,
"FRE00106209","AJACCIO, FR","2023-01",,"6","4",,,,,,,"0.68",,,"2.20",,,
"FRE00106209","AJACCIO, FR","2023-02",,"8","3",,,,,,,"0.35",,,"0.91",,,
"FRM00007150","LE BOURGET, FR","2023-01",,"16","6",,,,,,,"0.45",,,"1.70",,,
"FRM00007150","LE BOURGET, FR","2023-02",,"2","0",,,,,,,"0.02",,,"0.03",,,
"FRM00007072","REIMS PRUNAY, FR","2023-01",,"16","5",,,,,,,"0.35",,,"1.56",,,
"FRM00007072","REIMS PRUNAY, FR","2023-02",,"4","1",,,,,,,"0.24",,,"0.28",,,
"FRE00171632","NANCY OCHEY, FR","2023-01",,"18","11",,,,,,,"0.48",,,"3.00",,,
"FRE00171632","NANCY OCHEY, FR","2023-02",,"10","1",,,,,,,"0.12",,,"0.33",,,
"FRM00007627","ANTICHAN, FR","2023-01",,"13","6",,,"0","0","0",,"1.11","67",,"3.02",,"47.9",
"FRM00007627","ANTICHAN, FR","2023-02","0","6","3","0","19","0","1","0","21","0.31","72","541","0.57","41.9","55.4","28.5"
