"STATION","NAME","DATE","AWND","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDF2","WDF5","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-04-05",,,,"2.53",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-04-14",,,,"1.48",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-04-16",,,,"0.03",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-04-18",,"    2","0.23",,,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-04-20",,,,"0.38",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-04-21",,,,"0.11",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-04-24",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-04-25",,,,"3.45",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-05-02",,,,"1.64",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-05-03",,,,"0.96",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-05-04",,,,"0.02",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-05-05",,,,"0.00",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-05-06",,,,"0.38",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-05-13",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-05-15",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-05-16",,,,"0.03",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-05-19",,,,"0.00",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-05-23",,,,"0.02",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-05-25",,,,"1.89",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-06-07",,"    6","3.50",,,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-06-08",,,,"0.30",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-06-09",,,,"0.06",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-06-10",,,,"0.20",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-06-11",,,,"0.21",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-06-12",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-07-18",,,,"0.21",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-07-22",,,,"0.03",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-07-23",,,,"0.05",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-07-24",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-08-01",,"    2","0.91",,,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-08-09",,,,"0.02",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-08-10",,,,"0.06",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-08-18",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-08-22",,,,"1.27",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-08-23",,,,"1.54",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-08-24",,,,"0.10",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-08-28",,,,"0.85",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-08-31",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-09-01",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-09-02",,,,"0.53",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-09-03",,,,"0.02",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-09-04",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-09-05",,,,"0.00",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-09-09",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-09-10",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-09-29",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-10-01",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-10-16",,,,"1.00",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-10-17",,,,"0.87",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-10-24",,,,"0.05",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-10-25",,,,"2.71",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-10-26",,,,"0.02",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-10-27",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-10-29",,,,"3.00",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-10-30",,,,"0.18",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-05",,,,"0.70",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-11",,,,"0.38",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-12",,,,"0.06",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-13",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-14",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-15",,,,"0.73",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-17",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-18",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-19",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-20",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-21",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-22",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-23",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-24",,,,"1.40",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-25",,,,"0.61",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-26",,,,"0.11",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-11-27",,,,"0.85",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-12-02",,,,"0.02",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-12-03",,,,"0.06",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-12-04",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-12-05",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-12-06",,,,"0.04",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-12-08",,,,"0.15",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-12-11",,,,"1.40",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-12-13",,,,"0.12",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-12-14",,,,"0.61",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-12-22",,,,"0.02",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-12-23",,,,"0.02",,,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-12-29",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2022-12-30",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0003","POWDERLY 1.0 S, TX US","2023-01-01",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-01",,,,"0.90",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-02",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-03",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-04",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-05",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-06",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-07",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-08",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-09",,,,"0.11",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-10",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-11",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-12",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-13",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-14",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-15",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-16",,,,"0.00",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-17",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-18",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-19",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-20",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-21",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-23",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-24",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-25",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-26",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-27",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-28",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-29",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-30",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-01-31",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-01",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-02",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-04",,"    2","1.42",,,"0.0",,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-05",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-06",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-07",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-08",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-09",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-10",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-11",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-12",,,,"0.03",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-13",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-14",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-15",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-16",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-17",,,,"0.43",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-21",,,,"0.05",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-22",,,,"1.04",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-02-27",,,,"0.24",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-03-01",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-03-02",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-03-04",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-03-05",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-03-06",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-03-07",,,,"0.37",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-03-08",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-03-09",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-03-10",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-03-11",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-03-12",,,,"0.07",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-03-15",,,,"1.12",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-03-22",,,,"1.84",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-03-30",,,,"2.14",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-01",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-02",,,,"0.07",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-03",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-04",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-05",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-06",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-07",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-08",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-09",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-10",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-11",,,,"0.00",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-12",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-14",,"    2","0.97",,,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-15",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-16",,,,"0.05",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-17",,,,"0.19",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-18",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-19",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-20",,,,"0.42",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-21",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-22",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-23",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-24",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-04-25",,,,"2.42",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-01",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-02",,,,"1.40",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-03",,,,"1.00",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-04",,,,"0.00",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-05",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-06",,,,"0.32",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-07",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-08",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-09",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-10",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-11",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-12",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-13",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-14",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-15",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-16",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-17",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-18",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-19",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-20",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-21",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-22",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-23",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-24",,,,"0.04",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-25",,,,"2.40",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-26",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-27",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-28",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-29",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-30",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-05-31",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-06-01",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-06-02",,,,"2.02",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-06-09",,,,"0.11",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-06-10",,,,"0.52",,,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-06-24",,,,"0.00","0.0",,,,,,,,,,,,,,,
"US1TXLM0002","PARIS 4.5 NNE, TX US","2022-07-01",,,,"0.00","0.0",,,,,,,,,,,,,,,
